,userId,movieId,rating
0,1,81021831,0.0
1,1,80997863,0.0
2,1,846071,0.0
3,1,80173542,-1.0
4,1,80161921,1.0
5,1,81160036,-1.0
6,1,81000863,-1.0
7,1,70295560,-1.0
8,1,80094648,1.0
9,1,80152182,-1.0
10,1,81029736,0.0
11,1,70253397,-1.0
12,1,80107370,1.0
13,1,81031038,1.0
14,1,80191608,0.0
15,1,80134398,-1.0
16,1,80083930,-1.0
17,1,80002621,0.0
18,1,60000891,-1.0
19,1,80144311,0.0
20,2,80189997,1.0
21,2,81036190,1.0
22,2,81031008,1.0
23,2,70068739,1.0
24,2,296682,1.0
25,2,70044595,0.0
26,2,81030855,0.0
27,2,70299748,1.0
28,2,80058424,0.0
29,2,70100527,1.0
30,2,80176342,1.0
31,2,81017506,0.0
32,2,80132964,0.0
33,2,81024696,0.0
34,2,80208793,0.0
35,2,81212801,0.0
36,2,81035855,0.0
37,2,80201813,1.0
38,2,81002592,-1.0
39,2,80103372,0.0
40,2,80998567,0.0
41,2,80149064,0.0
42,2,80116761,1.0
43,2,80017099,1.0
44,2,70036200,1.0
45,2,916043,1.0
46,2,70014531,0.0
47,2,80231064,1.0
48,2,20705133,0.0
49,2,81053893,1.0
50,2,81213152,0.0
51,2,70124331,1.0
52,2,80039050,-1.0
53,2,80220758,-1.0
54,2,80174451,0.0
55,2,18002692,1.0
56,2,81165786,1.0
57,2,80139397,0.0
58,2,80115844,0.0
59,2,81179693,0.0
60,2,70058023,0.0
61,2,60022645,-1.0
62,2,81167490,0.0
63,2,80117452,0.0
64,2,80060034,0.0
65,2,80188580,0.0
66,2,80082739,-1.0
67,2,70154110,0.0
68,2,80221639,1.0
69,2,80097360,0.0
70,2,70296733,1.0
71,2,284890,-1.0
72,2,80989339,1.0
73,2,70060005,0.0
74,2,80103374,0.0
75,2,80014727,1.0
76,2,70065769,1.0
77,2,80202874,1.0
78,2,80003150,1.0
79,2,81004748,1.0
80,2,80142474,1.0
81,2,81082125,0.0
82,2,70043231,0.0
83,2,81213979,1.0
84,2,80117596,0.0
85,2,80999982,1.0
86,2,80990869,0.0
87,2,80999983,0.0
88,2,80991404,0.0
89,2,16944044,1.0
90,2,80187618,1.0
91,2,80223149,1.0
92,2,80168231,0.0
93,2,80142450,0.0
94,2,81035841,1.0
95,2,80101609,1.0
96,3,80168300,0.0
97,3,81110389,1.0
98,3,80134968,1.0
99,3,80083594,0.0
100,3,80057278,1.0
101,3,81132442,1.0
102,3,80052612,0.0
103,3,653673,1.0
104,3,70099120,0.0
105,3,80210716,0.0
106,3,80186829,0.0
107,3,80222823,0.0
108,3,80060037,0.0
109,3,81026188,-1.0
110,3,81113928,1.0
111,3,80142637,1.0
112,3,81035850,0.0
113,3,80168222,1.0
114,3,80202713,0.0
115,3,80136332,1.0
116,3,80043049,0.0
117,3,81123052,1.0
118,3,70185045,1.0
119,3,70087538,1.0
120,3,80988834,1.0
121,3,80131236,1.0
122,3,70241596,1.0
123,3,81035882,0.0
124,3,80170862,0.0
125,3,80185723,1.0
126,3,81214114,0.0
127,3,80236993,1.0
128,3,81172904,1.0
129,3,81003058,1.0
130,3,80203790,1.0
131,3,80174220,0.0
132,3,80206758,1.0
133,3,80106144,1.0
134,3,70084328,0.0
135,3,81121183,1.0
136,3,80993095,0.0
137,3,80174177,0.0
138,3,81087761,0.0
139,3,80134968,1.0
140,3,80135149,0.0
141,3,70261058,1.0
142,3,81031306,1.0
143,3,81157840,1.0
144,3,81045530,1.0
145,3,80039662,0.0
146,3,81001809,1.0
147,4,70261178,1.0
148,4,70045356,1.0
149,4,80141858,1.0
150,4,70059026,1.0
151,4,60034549,1.0
152,4,80121844,0.0
153,4,80991033,0.0
154,4,81000000,1.0
155,4,80078761,1.0
156,4,80083589,1.0
157,4,81065786,0.0
158,4,81213888,1.0
159,4,80065327,1.0
160,4,81213873,1.0
161,4,80106743,1.0
162,4,80157866,1.0
163,4,81038832,0.0
164,4,81044856,0.0
165,4,80057691,0.0
166,4,80144358,1.0
167,4,80057137,-1.0
168,4,81213149,1.0
169,4,60004484,1.0
170,4,80187205,1.0
171,4,80191294,1.0
172,4,80152842,1.0
173,4,80138469,1.0
174,4,80158750,1.0
175,4,80094096,0.0
176,4,60031236,1.0
177,4,80122177,1.0
178,4,80997859,1.0
179,4,81029841,1.0
180,4,81217438,1.0
181,4,70229213,1.0
182,4,80042309,1.0
183,4,81029841,1.0
184,4,81021098,1.0
185,4,80216268,1.0
186,4,70303496,1.0
187,4,80200961,1.0
188,4,81024100,1.0
189,4,80014727,1.0
190,4,81077539,1.0
191,4,70065107,1.0
192,4,81176200,1.0
193,4,80119191,1.0
194,4,80134515,1.0
195,4,81026667,1.0
196,4,80084454,1.0
197,4,80201622,1.0
198,4,80058026,1.0
199,4,70021652,1.0
200,4,81071972,1.0
201,4,80038288,1.0
202,4,60022962,1.0
203,4,70044605,1.0
204,4,80217135,1.0
205,4,70296765,1.0
206,4,70011206,1.0
207,4,81213894,1.0
208,4,80219917,1.0
209,4,80167481,1.0
210,4,81047902,1.0
211,4,80081790,1.0
212,4,80121843,1.0
213,4,81012943,1.0
214,4,80146759,1.0
215,4,70285697,1.0
216,4,80057565,1.0
217,4,81123826,1.0
218,4,81213889,1.0
219,4,80177414,1.0
220,4,81035836,1.0
221,4,80187188,1.0
222,4,81035108,1.0
223,4,80134968,1.0
224,4,80117628,1.0
225,4,60020892,1.0
226,4,80166185,1.0
227,4,81035882,1.0
228,4,80004478,1.0
229,4,70199239,1.0
230,4,70059284,1.0
231,4,81027753,1.0
232,4,80134780,1.0
233,4,80213401,1.0
234,4,81039381,1.0
235,4,70184051,0.0
236,4,81094074,1.0
237,4,80152091,0.0
238,4,80201618,0.0
239,4,80155477,1.0
240,4,80223052,1.0
241,4,80116761,1.0
242,4,81025404,1.0
243,4,81088285,0.0
244,4,80106124,1.0
245,4,80201609,1.0
246,4,80189216,1.0
247,4,80175421,-1.0
248,4,80124726,1.0
249,4,80994418,1.0
250,4,80988892,-1.0
251,4,80156857,1.0
